step,T_in,Rad,T_mean,T_daytime_mean
0,20.0,300.0,21.0,22.0
1,20.5,310.0,21.3,22.4
2,20.2,305.0,21.1,22.1
3,19.8,295.0,20.7,21.8
4,20.1,302.0,20.9,22.0
5,20.4,315.0,21.2,22.5
6,20.8,320.0,21.5,22.8
7,21.0,330.0,21.7,23.0
8,21.2,340.0,21.9,23.2
9,21.4,345.0,22.0,23.3
10,21.5,350.0,22.1,23.4
11,21.7,355.0,22.2,23.5
12,21.8,360.0,22.3,23.6
13,21.6,350.0,22.2,23.4
14,21.3,335.0,22.0,23.1
15,21.0,320.0,21.7,22.8
16,20.7,305.0,21.4,22.5
17,20.4,295.0,21.1,22.2
18,20.1,285.0,20.8,21.9
19,19.9,275.0,20.6,21.7
20,19.7,265.0,20.4,21.5
21,19.6,255.0,20.3,21.4
22,19.5,250.0,20.2,21.3
23,19.4,245.0,20.1,21.2
