sample,Biomass_0_N,Biomass_0_Nd,Biomass_0_PPFD,Biomass_0_Rad,Biomass_0_T_d_mean,Biomass_0_T_in,Biomass_0_T_mean,Biomass_0_c,Biomass_0_cd,Biomass_0_deltapg,Biomass_0_deltarm,Biomass_0_dn,Biomass_0_dw,Biomass_0_dwf,Biomass_0_dwm,Biomass_0_ff,Biomass_0_grnet,Biomass_0_lai,Biomass_0_location,Biomass_0_p1,Biomass_0_pg,Biomass_0_pgr,Biomass_0_rm,Biomass_0_w,Biomass_0_wf,Biomass_0_wm,Biomass_1_N,Biomass_1_Nd,Biomass_1_PPFD,Biomass_1_Rad,Biomass_1_T_d_mean,Biomass_1_T_in,Biomass_1_T_mean,Biomass_1_c,Biomass_1_cd,Biomass_1_deltapg,Biomass_1_deltarm,Biomass_1_dn,Biomass_1_dw,Biomass_1_dwf,Biomass_1_dwm,Biomass_1_ff,Biomass_1_grnet,Biomass_1_lai,Biomass_1_location,Biomass_1_p1,Biomass_1_pg,Biomass_1_pgr,Biomass_1_rm,Biomass_1_w,Biomass_1_wf,Biomass_1_wm,Greenhouse_Rad,Greenhouse_Rad_input_0,Greenhouse_Rad_input_1,Greenhouse_T_daytime_mean,Greenhouse_T_in,Greenhouse_T_input_0,Greenhouse_T_input_1,Greenhouse_T_mean,Greenhouse_T_sparse_daytime_0,Greenhouse_T_sparse_daytime_1,Greenhouse_T_sparse_mean_0,Greenhouse_T_sparse_mean_1,LAI_0_DN,LAI_0_N,LAI_0_Nd,LAI_0_c,LAI_0_dh,LAI_0_lai,LAI_0_location,LAI_1_DN,LAI_1_N,LAI_1_Nd,LAI_1_c,LAI_1_dh,LAI_1_lai,LAI_1_location,Nodes_0_C0,Nodes_0_C1,Nodes_0_C2,Nodes_0_K0,Nodes_0_K1,Nodes_0_K2,Nodes_0_N,Nodes_0_Nd,Nodes_0_T_mean,Nodes_0_c,Nodes_0_dn,Nodes_0_location,Nodes_1_C0,Nodes_1_C1,Nodes_1_C2,Nodes_1_K0,Nodes_1_K1,Nodes_1_K2,Nodes_1_N,Nodes_1_Nd,Nodes_1_T_mean,Nodes_1_c,Nodes_1_dn,Nodes_1_location
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,B0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,B0,0,0,0.0,0,0,0,0,300.0,300.0,299.6296296296296,22.0,20.0,21.0,20.998765432098764,21.0,23.0,22.998765432098764,22.0,21.998765432098764,0.0,0.0,0.0,0,0.0,0.015,L_0,0.0,0.0,0.0,0,0.0,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,0.0,0,0,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,0.0,0,0,N_0
1,5.0,5.0,630.0,300.0,23.0,20.0,22.0,0,1,0.5225828212668793,0.0,0.0,0,0,0.0,0.9375,0.05126537476628086,0.015,B0,0,0.5225828212668793,1,0.0,0,0,0,5.0,5.0,629.2222222222222,299.6296296296296,22.998765432098764,20.0,21.998765432098764,0,1,0.5222501662137446,0.0,0.0,0,0,0.0,0.9374228395061728,0.051232741305568354,0.015,B0,0,0.5222501662137446,1,0.0,0,0,0,300.0,300.0,299.6296296296296,22.0,20.0,21.0,20.998765432098764,21.0,23.0,22.998765432098764,22.0,21.998765432098764,0.0,5.0,5.0,1,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,1,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.0,1,0.5327142857142858,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.998765432098764,1,0.5326880952380952,N_0
2,5.0,5.0,651.0,310.0,23.433333333333334,20.5,22.333333333333336,0,2,0.5314164133585149,0.0,0.0,0,0,0.0,0.9583333333333335,0.07776463753361074,0.015,B0,0,1.0539992346253941,1,0.0,0,0,0,5.0,5.0,650.1962962962963,309.61728395061726,23.432057613168723,20.5,22.332057613168725,0,2,0.5310835103095981,0.0,0.0,0,0,0.0,0.9582536008230453,0.07771566301415575,0.015,B0,0,1.0533336765233428,1,0.0,0,0,0,310.0,310.0,309.61728395061726,22.4,20.5,21.533333333333335,21.532057613168725,21.3,23.433333333333334,23.432057613168723,22.333333333333336,22.332057613168725,0.0,5.0,5.0,2,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,2,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.333333333333336,2,0.5397857142857144,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.332057613168725,2,0.5397586507936509,N_0
3,5.0,5.0,640.5,305.0,23.116666666666667,20.2,22.116666666666667,0,3,0.5270350113420358,0.0,0.0,0,0,0.0,0.9447916666666667,0.1034007970710293,0.015,B0,0,1.5810342459674298,1,0.0,0,0,0,5.0,5.0,639.7092592592593,304.62345679012344,23.115411522633746,20.2,22.115411522633746,0,3,0.5267022089480548,0.0,0.0,0,0,0.0,0.9447132201646091,0.10333550353127412,0.015,B0,0,1.5800358854713976,1,0.0,0,0,0,305.0,305.0,304.62345679012344,22.1,20.2,21.216666666666665,21.215411522633744,21.1,23.116666666666667,23.115411522633746,22.116666666666667,22.115411522633746,0.0,5.0,5.0,3,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,3,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.116666666666667,3,0.5351892857142858,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.115411522633746,3,0.5351626587301588,N_0
4,5.0,5.0,619.5,295.0,22.783333333333335,19.8,21.683333333333334,0,4,0.5180581136293668,0.0,0.0,0,0,0.0,0.9177083333333333,0.12837123071174328,0.015,B0,0,2.0990923595967965,1,0.0,0,0,0,5.0,5.0,618.7351851851852,294.6358024691358,22.782119341563785,19.8,21.682119341563784,0,4,0.5177256548527596,0.0,0.0,0,0,0.0,0.9176324588477365,0.12828964692342776,0.015,B0,0,2.097761540324157,1,0.0,0,0,0,295.0,295.0,294.6358024691358,21.8,19.8,20.783333333333335,20.782119341563785,20.7,22.783333333333335,22.782119341563785,21.683333333333334,21.682119341563784,0.0,5.0,5.0,4,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,4,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.683333333333334,4,0.5259964285714287,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.682119341563784,4,0.5259706746031746,N_0
5,5.0,5.0,634.2,302.0,23.006666666666668,20.1,21.906666666666666,0,5,0.5243723013044285,0.0,0.0,0,0,0.0,0.9316666666666666,0.15440140299618732,0.015,B0,0,2.623464660901225,1,0.0,0,0,0,5.0,5.0,633.4170370370371,301.62716049382715,23.005423868312757,20.1,21.905423868312756,0,5,0.5240395815711002,0.0,0.0,0,0,0.0,0.9315889917695472,0.15430348650502484,0.015,B0,0,2.6218011218952575,1,0.0,0,0,0,302.0,302.0,301.62716049382715,22.0,20.1,21.10666666666667,21.10542386831276,20.9,23.006666666666668,23.005423868312757,21.906666666666666,21.905423868312756,0.0,5.0,5.0,5,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,5,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.906666666666666,5,0.5307342857142857,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,21.905423868312756,5,0.5307079206349207,N_0
6,5.0,5.0,661.5,315.0,23.55,20.4,22.25,0,6,0.53572870225671,0.0,0.0,0,0,0.0,0.953125,0.1812359273085883,0.015,B0,0,3.159193363157935,1,0.0,0,0,0,5.0,5.0,660.6833333333334,314.61111111111114,23.548703703703705,20.4,22.248703703703704,0,6,0.5353957430937021,0.0,0.0,0,0,0.0,0.9530439814814815,0.18112166742645452,0.015,B0,0,3.1571968649889595,1,0.0,0,0,0,315.0,315.0,314.61111111111114,22.5,20.4,21.45,21.448703703703703,21.2,23.55,23.548703703703705,22.25,22.248703703703704,0.0,5.0,5.0,6,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,6,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.25,6,0.5380178571428572,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.248703703703704,6,0.5379903571428573,N_0
7,5.0,5.0,672.0,320.0,23.866666666666667,20.8,22.566666666666666,0,7,0.5399735005486119,0.0,0.0,0,0,0.0,0.9729166666666667,0.20792983486671554,0.015,B0,0,3.699166863706547,1,0.0,0,0,0,5.0,5.0,671.1703703703705,319.60493827160496,23.865349794238682,20.8,22.565349794238685,0,7,0.5396405277669499,0.0,0.0,0,0,0.0,0.9728343621399178,0.20779924200164626,0.015,B0,0,3.6968373927559095,1,0.0,0,0,0,320.0,320.0,319.60493827160496,22.8,20.8,21.866666666666667,21.865349794238682,21.5,23.866666666666667,23.865349794238682,22.566666666666666,22.565349794238685,0.0,5.0,5.0,7,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,7,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.566666666666666,7,0.5447357142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.565349794238685,7,0.5447077777777779,N_0
8,5.0,5.0,693.0,330.0,24.1,21.0,22.8,0,8,0.5482668653385802,0.0,0.0,0,0,0.0,0.9875,0.23522911415452083,0.015,B0,0,4.247433729045127,1,0.0,0,0,0,5.0,5.0,692.1444444444445,329.5925925925926,24.09864197530864,21.0,22.79864197530864,0,8,0.5479339850905218,0.0,0.0,0,0,0.0,0.9874151234567901,0.23508219805205752,0.015,B0,0,4.2447713778464315,1,0.0,0,0,0,330.0,330.0,329.5925925925926,23.0,21.0,22.1,22.09864197530864,21.7,24.1,24.09864197530864,22.8,22.79864197530864,0.0,5.0,5.0,8,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,8,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.8,8,0.5496857142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,22.79864197530864,8,0.5496569047619048,N_0
9,5.0,5.0,714.0,340.0,24.333333333333332,21.2,23.03333333333333,0,9,0.5563085142919332,0.0,0.0,0,0,0.0,1,0.2629104896617021,0.015,B0,0,4.8037422433370605,1,0.0,0,0,0,5.0,5.0,713.1185185185186,339.58024691358025,24.3319341563786,21.2,23.0319341563786,0,9,0.5559758742815483,0.0,0.0,0,0,0.0,1,0.2627472693503874,0.015,B0,0,4.80074725212798,1,0.0,0,0,0,340.0,340.0,339.58024691358025,23.2,21.2,22.333333333333332,22.3319341563786,21.9,24.333333333333332,24.3319341563786,23.03333333333333,23.0319341563786,0.0,5.0,5.0,9,0.0013523643587838472,0.015,L_0,0.0,5.0,5.0,9,0.0013523643587838472,0.015,L_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.03333333333333,9,0.5546357142857143,N_0,-0.3055555555555556,0.09999999999999998,3.0,0.061111111111111116,0.03214285714285715,-0.07142857142857142,5,5,23.0319341563786,9,0.5546060317460318,N_0
